topic_page,source_page,pdf,text,question_blocks,status,notes
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,binomial_series_expansions_exam_questions.pdf,binomial_series_expansions_exam_questions.txt,92,manual_audit_in_progress,"Q1-Q14, Q20-Q22, Q30-Q32, Q40-Q42, Q50-Q52 sampled/checked; fixes added for PF, products, sums, and powered-linear denominator products; remaining questions still pending"
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,binomial_series_expansions_practice.pdf,binomial_series_expansions_practice.txt,31,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,curve_sketching_exam_questions.pdf,curve_sketching_exam_questions.txt,17,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_ii_exam_questions.pdf,differentiation_ii_exam_questions.txt,280,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_practice_ii.pdf,differentiation_practice_ii.txt,41,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_practice_ii_exam_questions.pdf,differentiation_practice_ii_exam_questions.txt,15,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_practice_ii_student_version.pdf,differentiation_practice_ii_student_version.txt,21,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,equations_advanced_skills.pdf,equations_advanced_skills.txt,101,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,exponentials_logarithms_exam_questions.pdf,exponentials_logarithms_exam_questions.txt,128,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,exponentials_logarithms_practice.pdf,exponentials_logarithms_practice.txt,15,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,function_exam_questions.pdf,function_exam_questions.txt,163,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,function_practice.pdf,function_practice.txt,54,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,implicit_differentiation.pdf,implicit_differentiation.txt,21,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,implicit_equations_exam_questions.pdf,implicit_equations_exam_questions.txt,84,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,inequalities.pdf,inequalities.txt,35,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_areas.pdf,integration_areas.txt,35,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_basics.pdf,integration_basics.txt,20,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_basics_student_version.pdf,integration_basics_student_version.txt,20,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_a_special_manipulation.pdf,integration_by_a_special_manipulation.txt,1,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_a_special_manipulation_student_version.pdf,integration_by_a_special_manipulation_student_version.txt,1,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_parts.pdf,integration_by_parts.txt,9,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_parts_student_version.pdf,integration_by_parts_student_version.txt,9,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_reverse_chain_rule.pdf,integration_by_reverse_chain_rule.txt,9,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_reverse_chain_rule_student_version.pdf,integration_by_reverse_chain_rule_student_version.txt,9,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_substitution.pdf,integration_by_substitution.txt,12,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_substitution_student_version.pdf,integration_by_substitution_student_version.txt,12,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_trigonometric_identities.pdf,integration_by_trigonometric_identities.txt,9,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_by_trigonometric_identities_student_version.pdf,integration_by_trigonometric_identities_student_version.txt,9,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_indefinite_mix.pdf,integration_indefinite_mix.txt,0,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_indefinite_mix_student_version.pdf,integration_indefinite_mix_student_version.txt,0,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_indefinite_mix_student_version_condense.pdf,integration_indefinite_mix_student_version_condense.txt,0,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_numerical.pdf,integration_numerical.txt,52,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_partial_fractions.pdf,integration_partial_fractions.txt,5,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_partial_fractions_student_version.pdf,integration_partial_fractions_student_version.txt,5,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_structured_exam_questions_part_i.pdf,integration_structured_exam_questions_part_i.txt,333,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,integration_volume_of_revolution.pdf,integration_volume_of_revolution.txt,76,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,modulus_function_exam_questions.pdf,modulus_function_exam_questions.txt,100,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,modulus_function_practice.pdf,modulus_function_practice.txt,15,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,numerical_solutions_of_equations.pdf,numerical_solutions_of_equations.txt,52,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,odes_context_modelling.pdf,odes_context_modelling.txt,99,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,odes_separable_no_context.pdf,odes_separable_no_context.txt,109,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,parametric_equations.pdf,parametric_equations.txt,27,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,parametric_equations_exam_questions.pdf,parametric_equations_exam_questions.txt,162,downloaded_pending_manual_audit,not yet manually checked question-by-question
integration,https://www.madasmaths.com/archive_maths_booklets_standard_topics_integration.html,parametric_integration_exam_questions.pdf,parametric_integration_exam_questions.txt,68,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,polynomials.pdf,polynomials.txt,29,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,related_rates_of_change.pdf,related_rates_of_change.txt,56,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,transformations_of_graphs_exam_questions.pdf,transformations_of_graphs_exam_questions.txt,94,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,transformations_of_graphs_practice.pdf,transformations_of_graphs_practice.txt,6,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,transformations_of_graphs_practice_student_version.pdf,transformations_of_graphs_practice_student_version.txt,6,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometric_equations.pdf,trigonometric_equations.txt,31,manual_audited_all_questions,"Q1-Q30 checked against printed answers; logic fixes added for reciprocal, rational, shifted, and double-angle trig equations"
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometric_equations_introduction.pdf,trigonometric_equations_introduction.txt,39,manual_audited_all_questions,Q1-Q39 checked; fixes added for tan/sin/cos rational equations and double-angle substitution display; proof identities pass but generic proof output still needs richer algebra lines
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometric_general_solutions.pdf,trigonometric_general_solutions.txt,33,manual_audited_all_questions,"Q1-Q33 checked against extracted printed answers; fixes added for general same-function degrees, tan^2, tan sums, sin(2A) factor routes, cos*tan products, shifted sine sums, and R-form general families; OCR sqrt omissions checked by equation consistency"
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometric_graphs.pdf,trigonometric_graphs.txt,37,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometric_identities_with_solutions.pdf,trigonometric_identities_with_solutions.txt,0,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometric_inverse_functions.pdf,trigonometric_inverse_functions.txt,94,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_compound_angle_identities.pdf,trigonometry_compound_angle_identities.txt,28,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_double_angle_identities.pdf,trigonometry_double_angle_identities.txt,20,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_exam_questions.pdf,trigonometry_exam_questions.txt,470,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_introduction_exam_equations.pdf,trigonometry_introduction_exam_equations.txt,74,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_minor_trig_ratios.pdf,trigonometry_minor_trig_ratios.txt,17,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_pythagorean_identities.pdf,trigonometry_pythagorean_identities.txt,14,downloaded_pending_manual_audit,not yet manually checked question-by-question
trigonometry,https://www.madasmaths.com/archive_maths_booklets_standard_topics_trigonometry.html,trigonometry_r_transformations.pdf,trigonometry_r_transformations.txt,17,downloaded_pending_manual_audit,not yet manually checked question-by-question
